ID,Folder name,File name,File extension,#,"Last Word after last "" """,Date values,"Count # Col with "" """,PK#,Dates RPT,Dates,Dates (FI) ~See Function,*Mix*,*R2*,*Greta*,*Wato*,?President*,?Bat*,?PM*,*Today*,Day of Week,Week #,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,#.1,Weekday,ISO Week #
32,G:\MP3,The Clash V2 Jo' Whiley BBC R2 19012023,mp3,10822,19012023,19/01/2023,7,MP3/10822,R2/ 1/90,19/01/2023,19/01/2023, ,The Clash V2 Jo' Whiley BBC R2 19012023, , , , , , ,Friday,3,The , Clash, V2, Jo', Whiley, BBC,10822,Friday,3
33,G:\MP3,The Chemical Brothers Galvanize (feat. Q‐Tip) R2 SW,mp3,10814,00/01/00,,8,MP3/10814,,, , ,The Chemical Brothers Galvanize (feat. Q‐Tip) R2 SW, , , , , , ,Sunday,52,The , Chemical, Brothers, Galvanize, (feat., Q‐Tip),10814,Sunday,52
34,G:\MP3,The Chain1013. Pink Floyd Comfortably Numb RadMarconiBBCR2,mp3,10812,00/01/00,,7,MP3/10812,,, , ,The Chain1013. Pink Floyd Comfortably Numb RadMarconiBBCR2, , , , , , ,Sunday,52,The , Chain1013., Pink, Floyd, Comfortably, Numb,10812,Sunday,52
35,G:\MP3,The Boxer Simon _ Garfunkel  DEFINITIVER2 JW 251118,mp3,10798,251118,25/11/2018,8,MP3/10798,JW/ 2/51,25/11/2018,25/11/2018, ,The Boxer Simon _ Garfunkel  DEFINITIVER2 JW 251118, , , , , , ,Monday,47,The , Boxer, Simon, _, Garfunkel, ,10798,Monday,47
36,G:\MP3,The Boxer Simon & Garfunkel  DEFINITIVER2 JW 251118,mp3,10797,251118,25/11/2018,8,MP3/10797,JW/ 2/51,25/11/2018,25/11/2018, ,The Boxer Simon & Garfunkel  DEFINITIVER2 JW 251118, , , , , , ,Monday,47,The , Boxer, Simon, &, Garfunkel, ,10797,Monday,47
37,G:\MP3,That ship has sailed v2 8pm R2 News 211022,mp3,10737,211022,21/10/2022,8,MP3/10737,Ne/ws/ 2,21/10/2022,21/10/2022, ,That ship has sailed v2 8pm R2 News 211022, , , , , , ,Saturday,42,That , ship, has, sailed, v2, 8pm,10737,Saturday,42
38,G:\MP3,SWR2 Call Your dog Cat 1.4g Mix 1632 020430,mp3,10591,020430,02/04/2030,8,MP3/10591,16/32/ 0,02/04/2030, ,SWR2 Call Your dog Cat 1.4g Mix 1632 020430,SWR2 , , , , , , ,Wednesday,14,SWR2 , Call, Your, dog, Cat, 1.4g,10591,Wednesday,14
39,G:\MP3,SWR2 Call Your dog Cat 1.4g Mix 1632 020430 (1),mp3,10590,-1,02/04/2030,9,MP3/10590,02/04/1930,02/04/2030,30/ (/201),SWR2 Call Your dog Cat 1.4g Mix 1632 020430 (1),SWR2 , , , , , , ,Wednesday,14,SWR2 , Call, Your, dog, Cat, 1.4g,10590,Wednesday,14
40,G:\MP3,Susannah Streeter & Zoe Kleinman SWR2,mp3,10559,00/01/00,//20,5,MP3/10559,00/01/1900,//20, , ,Susannah Streeter & Zoe Kleinman SWR2, , , , , , ,,,Susannah , Streeter, &, Zoe, Kleinman,,10559,,
41,G:\MP3,Supremes Where did our Love Go R2 TB Mix 180621 1954,mp3,10548,1954,18/06/2021,10,MP3/10548,18/06/2021,18/06/2021,1 /19/2054, Mix,Supremes Where did our Love Go R2 TB Mix 180621 1954, , , , , , ,Saturday,24,Supremes , Where, did, our, Love, Go,10548,Saturday,24
42,G:\MP3,Summertime Blues by Eddie Cochran  R2SW 7 mins ago,mp3,10528,ago,,9,MP3/10528,ago,00/01/1900, , ,Summertime Blues by Eddie Cochran  R2SW 7 mins ago, , , , , , ,Sunday,52,Summertime , Blues, by, Eddie, Cochran, ,10528,Sunday,52
43,G:\MP3,Sultans Swing  M Knopfler  Dire Staits VERTIGO. DISCD-15  JWR2,mp3,10515,JWR2,,10,MP3/10515,,, , ,Sultans Swing  M Knopfler  Dire Staits VERTIGO. DISCD-15  JWR2, , , , , , ,Sunday,52,Sultans , Swing, , M, Knopfler, ,10515,Sunday,52
44,G:\MP3,Streets of Philadelphia by Bruce Springsteen R2 si jo 291018,mp3,10464,291018,29/10/2018,9,MP3/10464,jo/ 2/91,29/10/2018,29/10/2018, ,Streets of Philadelphia by Bruce Springsteen R2 si jo 291018, , , , , , ,Tuesday,44,Streets , of, Philadelphia, by, Bruce, Springsteen,10464,Tuesday,44
45,G:\MP3,Stick up by Heaven R2JW,mp3,10417,00/01/00,//20,4,MP3/10417,00/01/1900,//20, , ,Stick up by Heaven R2JW, , , , , , ,,,Stick , up, by, Heaven,,,10417,,
46,G:\MP3,Status Quo Paper Plane Johnny Walker R2 Mix 061220 996kbps),mp3,10358,996kbps),06/12/2020,9,MP3/10358,06/12/2020,06/12/2020, , Mix,Status Quo Paper Plane Johnny Walker R2 Mix 061220 996kbps), , , , , , ,Monday,49,Status , Quo, Paper, Plane, Johnny, Walker,10358,Monday,49
47,G:\MP3,Sorry it wasn't that one 21points R2KBisect armageddon,mp3,10240,00/01/00,,8,MP3/10240,,, , ,Sorry it wasn't that one 21points R2KBisect armageddon, , , , , , ,Sunday,52,Sorry , it, wasn't, that, one, 21points,10240,Sunday,52
48,G:\MP3,Sorry it wasn't that one 21points R2KB,mp3,10239,R2KB,,6,MP3/10239,,, , ,Sorry it wasn't that one 21points R2KB, , , , , , ,Sunday,52,Sorry , it, wasn't, that, one, 21points,10239,Sunday,52
49,G:\MP3,Someday At Christmas by Stevie Wonder R2 SW 051218,mp3,10175,051218,05/12/2018,8,MP3/10175,SW/ 0/51,05/12/2018,05/12/2018, ,Someday At Christmas by Stevie Wonder R2 SW 051218, , , , , , ,Thursday,49,Someday , At, Christmas, by, Stevie, Wonder,10175,Thursday,49
50,G:\MP3,Smells Like Teen Spirit Now Nirvana (El CiD SINGLE) DGC R2SW291118,mp3,10116,R2SW291118,29/11/2018,10,MP3/10116,DG/C /R2,29/11/2018,29/11/2018, ,Smells Like Teen Spirit Now Nirvana (El CiD SINGLE) DGC R2SW291118, , , , , , ,Friday,48,Smells , Like, Teen, Spirit, Now, Nirvana,10116,Friday,48
51,G:\MP3,Sir Stirling Moss Sir Jackie Stewart EPR2 120420 (1),mp3,10056,-1,12/04/2020,8,MP3/10056,12/04/2020,12/04/2020,20/ (/201), ,Sir Stirling Moss Sir Jackie Stewart EPR2 120420 (1), , , , , , ,Monday,15,Sir , Stirling, Moss, Sir, Jackie, Stewart,10056,Monday,15
52,G:\MP3,Sir Stirling Moss Sir Jackie Stewart EPR2 120420,mp3,10057,120420,12/04/2020,7,MP3/10057,EP/R2/ 1,12/04/2020,12/04/2020, ,Sir Stirling Moss Sir Jackie Stewart EPR2 120420, , , , , , ,Monday,15,Sir , Stirling, Moss, Sir, Jackie, Stewart,10057,Monday,15
53,G:\MP3,SimpleMindsR2Perth260518,mp3,9932,#CALC!,26/05/2018,1,MP3/9932,26/05/2018,26/05/2018,26/05/2018, ,SimpleMindsR2Perth260518, , , , , , ,Sunday,21,,,,,,,9932,Sunday,21
54,G:\MP3,Shirley Bassey Dir Gen BBC v2 R2 Lisa Tarbuck 11032023,mp3,9880,11032023,11/03/2020,9,MP3/9880,Ta/rb/uc,11/03/2020,11/03/2023, ,Shirley Bassey Dir Gen BBC v2 R2 Lisa Tarbuck 11032023, , , , , , ,Thursday,11,Shirley , Bassey, Dir, Gen, BBC, v2,9880,Thursday,11
55,G:\MP3,Secret Me BillyLiarDeal261118R2,mp3,9751,BillyLiarDeal261118R2,26/11/2018,2,MP3/9751,BillyLiarDeal261118R2,26/11/2018,11/18/20R2, ,Secret Me BillyLiarDeal261118R2, , , , , , ,Tuesday,48,Secret , Me,,,,,9751,Tuesday,48
56,G:\MP3,SconePalacePerthBirdsR2260518 (5),mp3,9707,-5,26/05/2018,1,MP3/9707,00/01/1900,26/05/2018,18/ (/205), ,SconePalacePerthBirdsR2260518 , , , , , , ,Sunday,21,SconePalacePerthBirdsR2260518 ,,,,,,9707,Sunday,21
57,G:\MP3,SconePalacePerthBirdsR2260518,mp3,9708,#CALC!,26/05/2018,1,MP3/9708,26/05/2018,26/05/2018,26/05/2018, ,SconePalacePerthBirdsR2260518, , , , , , ,Sunday,21,,,,,,,9708,Sunday,21
58,G:\MP3,Sammy Davis Jr Something's Gotta Give R2 Don Black 030520 2400,mp3,9617,2400,03/05/2020,10,MP3/9617,03/05/2020,03/05/2020, , ,Sammy Davis Jr Something's Gotta Give R2 Don Black 030520 2400, , , , , , ,Monday,18,Sammy , Davis, Jr, Something's, Gotta, Give,9617,Monday,18
59,G:\MP3,Sail Away David Grey 100419 R2,mp3,9582,R2,10/04/2019,5,MP3/9582,10/04/2019,10/04/2019, , ,Sail Away David Grey 100419 R2, , , , , , ,Thursday,15,Sail , Away, David, Grey,100419,,9582,Thursday,15
60,G:\MP3,Run to You Bodyguard 251118 R2ep,mp3,9531,R2ep,25/11/2018,5,MP3/9531,25/11/2018,25/11/2018, , ,Run to You Bodyguard 251118 R2ep, , , , , , ,Monday,47,Run , to, You, Bodyguard,251118,,9531,Monday,47
61,G:\MP3,Robert Miles Children Sara plays Cox R2 190620,mp3,9363,190620,19/06/2020,7,MP3/9363,R2/ 1/90,19/06/2020,19/06/2020, ,Robert Miles Children Sara plays Cox R2 190620, , , , , , ,Saturday,25,Robert , Miles, Children, Sara, plays, Cox,9363,Saturday,25
62,G:\MP3,Robbie Williams Go GentleR2SW220718,mp3,9354,GentleR2SW220718,22/07/2018,3,MP3/9354,22/07/2018,22/07/2018,22/07/2018, ,Robbie Williams Go GentleR2SW220718, , , , , , ,Monday,29,Robbie , Williams, Go,,,,9354,Monday,29
63,G:\MP3,Robbie Williams Gental Nat King Cole Let there be love R2SW220718,mp3,9353,R2SW220718,22/07/2018,10,MP3/9353,22/07/2018,22/07/2018,22/07/2018, ,Robbie Williams Gental Nat King Cole Let there be love R2SW220718, , , , , , ,Monday,29,Robbie , Williams, Gental, Nat, King, Cole,9353,Monday,29
64,G:\MP3,Remix [aka Saidystar]Broken Man Joshua Hedley R2 BH 300818,mp3,9251,300818,30/08/2018,8,MP3/9251,BH/ 3/00,30/08/2018,30/08/2018,Remix ,Remix [aka Saidystar]Broken Man Joshua Hedley R2 BH 300818, , , , , , ,Friday,35,Remix , [aka, Saidystar]Broken, Man, Joshua, Hedley,9251,Friday,35
65,G:\MP3,Reg w Boris Repalces his April Tour v Folk R2,mp3,9222,R2,,9,MP3/9222,R2,00/01/1900, , ,Reg w Boris Repalces his April Tour v Folk R2, , , , , , ,Sunday,52,Reg , w, Boris, Repalces, his, April,9222,Sunday,52
66,G:\MP3,Reg Repalces his April Tour v Folk R2,mp3,9218,R2,,7,MP3/9218,R2,00/01/1900, , ,Reg Repalces his April Tour v Folk R2, , , , , , ,Sunday,52,Reg , Repalces, his, April, Tour, v,9218,Sunday,52
67,G:\MP3,Reborn Cliff Richard  R2,mp3,9194,00/01/00,,5,MP3/9194,,, , ,Reborn Cliff Richard  R2, , , , , , ,Sunday,52,Reborn , Cliff, Richard, ,,,9194,Sunday,52
68,G:\MP3,Rathfriland on the Hill The Sands Family FOLK FROM THE MOURNES R2MR290818,mp3,9165,R2MR290818,29/08/2018,11,MP3/9165,29/08/2018,29/08/2018,29/08/2018, ,Rathfriland on the Hill The Sands Family FOLK FROM THE MOURNES R2MR290818, , , , , , ,Thursday,35,Rathfriland , on, the, Hill, The, Sands,9165,Thursday,35
69,G:\MP3,Radio 2 House Music - Nell Bryden with the BBC Concert Orchestra - Amy SWR2,mp3,9137,00/01/00,//20,14,MP3/9137,00/01/1900,//20, , ,Radio 2 House Music - Nell Bryden with the BBC Concert Orchestra - Amy SWR2, , , , , , ,,,Radio ,2, House, Music, -, Nell,9137,,
70,G:\MP3,Rachel Stevens More More More R2,mp3,9129,00/01/00,,6,MP3/9129,,, , ,Rachel Stevens More More More R2, , , , , , ,Sunday,52,Rachel , Stevens, More, More, More,,9129,Sunday,52
71,G:\MP3,R2KB- Don't Lie To Me 2 mins ago 270918,mp3,9013,270918,27/09/2018,8,MP3/9013,ag/o /27,27/09/2018,27/09/2018, ,R2KB- , , , , , , ,Friday,39,R2KB- , Don't, Lie, To, Me,2,9013,Friday,39
72,G:\MP3,R2KB 26rd March 2018 Macarthur Park 270918 (1),mp3,9012,-1,27/09/2018,7,MP3/9012,27/09/2018,27/09/2018,18/ (/201), ,R2KB , , , , , , ,Friday,39,R2KB , 26rd, March,2018, Macarthur, Park,9012,Friday,39
73,G:\MP3,R2KB 23rd March 2018 Macarthur Park 270918,mp3,9011,270918,27/09/2018,6,MP3/9011,Pa/rk/ 2,27/09/2018,27/09/2018, ,R2KB , , , , , , ,Friday,39,R2KB , 23rd, March,2018, Macarthur, Park,9011,Friday,39
74,G:\MP3,R2Eddie Reader[Maiden's Lament (An Charraig Donn)],mp3,9010,Donn)],,5,MP3/9010,Donn)],00/01/1900, , ,R2Eddie , , , , , , ,Sunday,52,R2Eddie , Reader[Maiden's, Lament, (An, Charraig,,9010,Sunday,52
75,G:\MP3,R2BBC News 1000,mp3,9009,00/01/00,,3,MP3/9009,,, , ,R2BBC , , , , , , ,Sunday,52,R2BBC , News,,,,,9009,Sunday,52
76,G:\MP3,R24 Miced Ear 011118,mp3,9007,011118,01/11/2018,3,MP3/9007,Ea/r /01,01/11/2018,01/11/2018, ,R24 , , , , , , ,Friday,44,R24 , Miced, Ear,,,,9007,Friday,44
77,G:\MP3,R24 Mix SWPM 120520,mp3,9008,120520,12/05/2020,3,MP3/9008,SW/PM/ 1,12/05/2020,12/05/2020, Mix,R24 , , , , , , ,Wednesday,20,R24 , Mix, SWPM,,,,9008,Wednesday,20
78,G:\MP3,R21 SW 181118,mp3,9006,181118,18/11/2018,2,MP3/9006,SW/ 1/81,18/11/2018,18/11/2018, ,R21 , , , , , , ,Monday,46,R21 , SW,,,,,9006,Monday,46
79,G:\MP3,R2 RandyCrawford ChelthamJazz020518 RC,mp3,8953,RC,02/05/2018,3,MP3/8953,Ch/el/th,02/05/2018, , ,R2 , , , , , , ,Thursday,18,R2 , RandyCrawford, ChelthamJazz020518,,,,8953,Thursday,18
80,G:\MP3,R2 RandyCrawford ChelthamJazz020518,mp3,8954,ChelthamJazz020518,02/05/2018,2,MP3/8954,Ra/nd/yC,02/05/2018,02/05/2018, ,R2 , , , , , , ,Thursday,18,R2 , RandyCrawford,,,,,8954,Thursday,18
81,G:\MP3,R2 SWght Mix 1005118,mp3,8993,1005118,10/05/2018,3,MP3/8993,Mi/x /10,10/05/2018, , Mix,R2 , , , , , , ,Friday,19,R2 , SWght, Mix,,,,8993,Friday,19
82,G:\MP3,R2 KB Rougharoundtheedges (featThe Eve Of The War)090718 Broad_Sword across the Gulf of Space,mp3,8931,R2 KB Rougharoundtheedges (featThe Eve Of The War)090718 Broad_Sword across the Gulf of Space,09/07/2018,14,MP3/8931,Sp/ac/e,09/07/2018, , ,R2 , , , , , , ,Tuesday,28,R2 , KB, Rougharoundtheedges, (featThe, Eve, Of,8931,Tuesday,28
83,G:\MP3,R2 Bobby Prior Craig Charles 191018,mp3,8881,191018,19/10/2018,5,MP3/8881,Ch/ar/le,19/10/2018,19/10/2018, ,R2 , , , , , , ,Saturday,42,R2 , Bobby, Prior, Craig, Charles,,8881,Saturday,42
84,G:\MP3,R2 Lisa T 081218 3 clip,mp3,8935,clip,08/12/2018,5,MP3/8935,08/12/2018,08/12/2018,3 /cl/20ip, ,R2 , , , , , , ,Sunday,49,R2 , Lisa, T, 081218,3,,8935,Sunday,49
85,G:\MP3,R2 Sally Johnny off six weeks Banna bread Rustle270119,mp3,8957,Rustle270119,27/01/2019,8,MP3/8957,br/ea/d,27/01/2019,27/01/2019, ,R2 , , , , , , ,Monday,4,R2 , Sally, Johnny, off, six, weeks,8957,Monday,4
86,G:\MP3,R2 SW 1,mp3,8981,1,,2,MP3/8981,,, , ,R2 , , , , , , ,,,R2 , SW,,,,,8981,,
87,G:\MP3,R2 CE time,mp3,8886,00/01/00,//20,2,MP3/8886,00/01/1900,//20, , ,R2 , , , , , , ,,,R2 , CE,,,,,8886,,
